candidate_id,simulation_id,orientation_deg,glazing_area_m2,wall_insulation_m,roof_insulation_m,night_shutter,roof_emissivity,wall_material,capital_cost_inr,minimum_indoor_temperature_C,average_indoor_temperature_C,comfort_hours,total_heat_loss_kWh,discomfort_hours,safety_status,is_pareto_optimal
CAND_01630,SIM_OPT_01630,165.0,3.0,0.05,0.075,0,0.51,stone_masonry,223248.0,-18.42,-12.55,0.0,76.75,24.0,SAFE,False
CAND_01631,SIM_OPT_01631,336.4,4.5,0.025,0.075,1,0.64,pu_sandwich_panel,197093.0,-17.38,-11.89,0.0,103.0,24.0,SAFE,False
CAND_01632,SIM_OPT_01632,195.0,2.0,0.0,0.025,1,0.48,stone_masonry,126907.0,-18.0,-13.55,0.0,214.37,24.0,SAFE,False
CAND_01633,SIM_OPT_01633,165.0,2.0,0.0,0.025,0,0.5,mud_brick,135723.0,-21.43,-15.23,0.0,207.47,24.0,SAFE,False
CAND_01634,SIM_OPT_01634,210.0,4.5,0.025,0.075,0,0.77,pu_sandwich_panel,199740.0,-18.41,-11.17,0.0,80.87,24.0,SAFE,False
CAND_01635,SIM_OPT_01635,210.0,3.0,0.075,0.05,1,0.35,stone_masonry,217430.0,-14.03,-10.37,0.0,52.33,24.0,SAFE,False
CAND_01636,SIM_OPT_01636,195.0,2.0,0.025,0.0,0,0.78,stone_masonry,109368.0,-20.67,-14.93,0.0,168.05,24.0,SAFE,False
CAND_01637,SIM_OPT_01637,195.0,3.0,0.075,0.1,1,0.58,pu_sandwich_panel,218520.0,-13.96,-10.3,0.0,57.02,24.0,SAFE,False
CAND_01638,SIM_OPT_01638,150.0,0.0,0.025,0.025,0,0.43,rammed_earth,113558.0,-20.88,-15.19,0.0,86.72,24.0,SAFE,False
CAND_01639,SIM_OPT_01639,195.0,6.0,0.075,0.075,1,0.75,stone_masonry,198277.0,-11.2,-5.74,0.0,55.96,24.0,SAFE,False
CAND_01640,SIM_OPT_01640,210.0,3.0,0.025,0.025,0,0.78,rammed_earth,123784.0,-19.69,-13.35,0.0,94.94,24.0,SAFE,False
CAND_01641,SIM_OPT_01641,210.0,0.0,0.0,0.025,0,0.74,stone_masonry,121535.0,-21.5,-15.5,0.0,230.15,24.0,SAFE,False
CAND_01642,SIM_OPT_01642,150.0,3.0,0.025,0.075,0,0.3,dense_concrete,184454.0,-19.45,-13.12,0.0,83.29,24.0,SAFE,False
CAND_01643,SIM_OPT_01643,180.0,8.0,0.15,0.1,1,0.29,pu_sandwich_panel,381032.0,-8.05,-2.78,0.0,62.49,24.0,SAFE,False
CAND_01644,SIM_OPT_01644,150.0,0.0,0.0,0.025,0,0.66,mud_brick,117769.0,-21.5,-15.5,0.0,218.83,24.0,SAFE,False
CAND_01645,SIM_OPT_01645,210.0,6.0,0.05,0.1,1,0.29,pu_sandwich_panel,261080.0,-12.27,-6.34,0.0,54.65,24.0,SAFE,False
CAND_01646,SIM_OPT_01646,150.0,12.0,0.075,0.15,1,0.35,pu_sandwich_panel,375626.0,-8.87,0.2,0.0,70.15,24.0,SAFE,False
CAND_01647,SIM_OPT_01647,210.0,3.0,0.025,0.025,1,0.36,mud_brick,135375.0,-15.96,-11.38,0.0,71.06,24.0,SAFE,False
CAND_01648,SIM_OPT_01648,210.0,6.0,0.1,0.2,1,0.38,pu_sandwich_panel,299501.0,-11.4,-6.4,0.0,59.17,24.0,SAFE,False
CAND_01649,SIM_OPT_01649,165.0,6.0,0.075,0.075,0,0.81,dense_concrete,213586.0,-14.25,-7.04,0.0,60.72,24.0,SAFE,False
CAND_01650,SIM_OPT_01650,180.0,6.0,0.15,0.1,1,0.86,stone_masonry,319957.0,-10.09,-6.01,0.0,67.38,24.0,SAFE,False
CAND_01651,SIM_OPT_01651,257.8,6.0,0.05,0.05,1,0.8,dense_concrete,200385.0,-16.53,-10.61,0.0,91.8,24.0,SAFE,False
CAND_01652,SIM_OPT_01652,195.0,3.0,0.0,0.025,0,0.41,mud_brick,125220.0,-21.18,-14.38,0.0,217.34,24.0,SAFE,False
CAND_01653,SIM_OPT_01653,180.0,6.0,0.1,0.15,1,0.49,pu_sandwich_panel,295026.0,-11.53,-6.53,0.0,70.33,24.0,SAFE,False
CAND_01654,SIM_OPT_01654,150.0,4.5,0.025,0.075,0,0.59,pu_sandwich_panel,198860.0,-18.02,-10.78,0.0,71.47,24.0,REFUSED,False
CAND_01655,SIM_OPT_01655,180.0,2.0,0.0,0.0,0,0.31,mud_brick,135609.0,-21.5,-15.3,0.0,271.82,24.0,SAFE,False
CAND_01656,SIM_OPT_01656,180.0,4.5,0.025,0.075,0,0.47,dense_concrete,232514.0,-17.52,-10.29,0.0,71.97,24.0,SAFE,False
CAND_01657,SIM_OPT_01657,210.0,3.0,0.025,0.05,1,0.44,pu_sandwich_panel,182404.0,-16.21,-11.62,0.0,81.73,24.0,SAFE,False
CAND_01658,SIM_OPT_01658,282.2,4.5,0.025,0.1,1,0.42,pu_sandwich_panel,200878.0,-17.38,-11.89,0.0,102.66,24.0,SAFE,False
CAND_01659,SIM_OPT_01659,98.4,3.0,0.075,0.05,0,0.45,stone_masonry,177386.0,-19.5,-14.09,0.0,44.31,24.0,SAFE,False
CAND_01660,SIM_OPT_01660,180.0,6.0,0.075,0.1,0,0.58,dense_concrete,194558.0,-14.66,-7.45,0.0,67.57,24.0,SAFE,False
CAND_01661,SIM_OPT_01661,165.0,6.0,0.075,0.1,1,0.54,stone_masonry,243482.0,-12.49,-7.03,0.0,73.35,24.0,SAFE,False
CAND_01662,SIM_OPT_01662,297.3,6.0,0.05,0.1,1,0.52,stone_masonry,255429.0,-16.59,-10.66,0.0,71.25,24.0,SAFE,False
CAND_01663,SIM_OPT_01663,150.0,6.0,0.025,0.075,1,0.7,stone_masonry,222656.0,-14.76,-8.38,0.0,87.4,24.0,SAFE,False
CAND_01664,SIM_OPT_01664,210.0,6.0,0.075,0.2,1,0.53,pu_sandwich_panel,369502.0,-10.27,-4.8,0.0,42.79,24.0,SAFE,False
CAND_01665,SIM_OPT_01665,150.0,3.0,0.025,0.0,0,0.71,mud_brick,112144.0,-20.3,-13.96,0.0,148.37,24.0,SAFE,False
CAND_01666,SIM_OPT_01666,180.0,2.0,0.025,0.0,0,0.23,stone_masonry,137688.0,-20.45,-14.71,0.0,132.78,24.0,SAFE,False
CAND_01667,SIM_OPT_01667,195.0,3.0,0.025,0.1,0,0.3,stone_masonry,205360.0,-19.57,-13.23,0.0,98.65,24.0,SAFE,False
CAND_01668,SIM_OPT_01668,195.0,4.5,0.075,0.1,0,0.79,pu_sandwich_panel,233077.0,-16.82,-10.51,0.0,80.98,24.0,SAFE,False
CAND_01669,SIM_OPT_01669,307.1,3.0,0.05,0.075,0,0.82,dense_concrete,186147.0,-20.25,-14.38,0.0,68.3,24.0,SAFE,False
CAND_01670,SIM_OPT_01670,195.0,4.5,0.075,0.075,0,0.41,dense_concrete,231209.0,-14.8,-8.49,0.0,50.29,24.0,SAFE,False
CAND_01671,SIM_OPT_01671,195.0,10.0,0.1,0.1,1,0.78,stone_masonry,328056.0,-7.43,-0.03,0.0,59.04,24.0,SAFE,False
CAND_01672,SIM_OPT_01672,150.0,0.0,0.0,0.025,0,0.61,mud_brick,102891.0,-21.5,-15.5,0.0,204.95,24.0,SAFE,False
CAND_01673,SIM_OPT_01673,210.0,2.0,0.025,0.025,1,0.89,rammed_earth,132019.0,-17.01,-13.02,0.0,104.3,24.0,SAFE,False
CAND_01674,SIM_OPT_01674,210.0,2.0,0.025,0.025,1,0.48,stone_masonry,122644.0,-16.9,-12.91,0.0,93.21,24.0,SAFE,False
CAND_01675,SIM_OPT_01675,165.0,10.0,0.15,0.2,1,0.37,pu_sandwich_panel,370077.0,3.48,9.96,0.0,27.75,24.0,REFUSED,False
CAND_01676,SIM_OPT_01676,180.0,6.0,0.025,0.1,0,0.43,stone_masonry,222772.0,-17.93,-9.79,0.0,107.22,24.0,SAFE,False
CAND_01677,SIM_OPT_01677,180.0,8.0,0.1,0.15,1,0.45,stone_masonry,334887.0,-8.78,-2.58,0.0,58.05,24.0,SAFE,False
CAND_01678,SIM_OPT_01678,180.0,6.0,0.075,0.075,0,0.7,pu_sandwich_panel,211657.0,-14.18,-6.96,0.0,62.12,24.0,SAFE,False
CAND_01679,SIM_OPT_01679,359.3,0.0,0.025,0.025,0,0.28,mud_brick,135622.0,-20.88,-15.19,0.0,87.99,24.0,SAFE,False
CAND_01680,SIM_OPT_01680,150.0,12.0,0.075,0.15,1,0.56,stone_masonry,383659.0,-8.67,0.4,0.0,68.37,24.0,SAFE,False
CAND_01681,SIM_OPT_01681,126.6,6.0,0.025,0.075,0,0.87,pu_sandwich_panel,181135.0,-19.4,-11.26,0.0,111.7,24.0,SAFE,False
CAND_01682,SIM_OPT_01682,198.4,4.5,0.025,0.1,1,0.76,pu_sandwich_panel,214059.0,-15.08,-9.59,0.0,79.95,24.0,SAFE,False
CAND_01683,SIM_OPT_01683,165.0,3.0,0.025,0.025,1,0.69,mud_brick,122367.0,-16.03,-11.45,0.0,82.27,24.0,SAFE,False
CAND_01684,SIM_OPT_01684,150.0,10.0,0.075,0.15,1,0.63,stone_masonry,392931.0,-5.23,2.63,0.0,39.8,24.0,SAFE,False
CAND_01685,SIM_OPT_01685,275.0,6.0,0.05,0.05,0,0.64,pu_sandwich_panel,200678.0,-20.01,-12.34,0.0,75.08,24.0,SAFE,False
CAND_01686,SIM_OPT_01686,195.0,2.0,0.025,0.0,0,0.49,stone_masonry,116396.0,-20.48,-14.74,0.0,132.81,24.0,REFUSED,False
CAND_01687,SIM_OPT_01687,210.0,2.0,0.0,0.0,1,0.74,stone_masonry,122489.0,-18.0,-13.55,0.0,270.28,24.0,SAFE,False
CAND_01688,SIM_OPT_01688,195.0,4.5,0.025,0.075,1,0.39,pu_sandwich_panel,179584.0,-15.06,-9.57,0.0,80.87,24.0,SAFE,False
CAND_01689,SIM_OPT_01689,165.0,0.0,0.0,0.025,0,0.33,stone_masonry,124433.0,-21.5,-15.5,0.0,225.61,24.0,SAFE,False
CAND_01690,SIM_OPT_01690,150.0,4.5,0.075,0.1,0,0.8,pu_sandwich_panel,253967.0,-15.73,-9.42,0.0,54.64,24.0,SAFE,False
CAND_01691,SIM_OPT_01691,324.8,3.0,0.025,0.025,1,0.32,mud_brick,153309.0,-17.38,-12.79,0.0,93.02,24.0,SAFE,False
CAND_01692,SIM_OPT_01692,195.0,6.0,0.075,0.1,1,0.87,pu_sandwich_panel,236603.0,-10.03,-4.57,0.0,46.02,24.0,SAFE,False
CAND_01693,SIM_OPT_01693,195.0,3.0,0.025,0.025,0,0.76,rammed_earth,119053.0,-19.72,-13.38,0.0,107.91,24.0,SAFE,False
CAND_01694,SIM_OPT_01694,150.0,4.5,0.025,0.05,1,0.38,stone_masonry,184071.0,-15.93,-10.45,0.0,104.93,24.0,SAFE,False
CAND_01695,SIM_OPT_01695,279.0,3.0,0.05,0.075,1,0.46,pu_sandwich_panel,194269.0,-16.75,-12.62,0.0,56.12,24.0,SAFE,False
CAND_01696,SIM_OPT_01696,150.0,8.0,0.075,0.1,1,0.81,stone_masonry,367153.0,-11.26,-4.6,0.0,67.65,24.0,SAFE,False
CAND_01697,SIM_OPT_01697,165.0,3.0,0.0,0.0,1,0.57,mud_brick,142151.0,-17.94,-12.89,0.0,269.58,24.0,SAFE,False
CAND_01698,SIM_OPT_01698,150.0,3.0,0.0,0.025,1,0.2,mud_brick,146496.0,-17.89,-12.84,0.0,221.5,24.0,SAFE,False
CAND_01699,SIM_OPT_01699,165.0,4.5,0.025,0.1,0,0.3,stone_masonry,209056.0,-18.85,-11.62,0.0,106.21,24.0,SAFE,False
